IDPelanggan,Kelamin,Usia,Pendapatan (juta Rp),Rating_pengeluaran (1-100)
0001,Laki,19,15,39
0002,Laki,21,15,81
0003,Perempuan,20,16,6
0004,Perempuan,23,16,77
0005,Perempuan,31,17,40
0006,Perempuan,22,17,76
0007,Perempuan,35,18,6
0008,Perempuan,23,18,94
0009,Laki,64,19,3
0010,Perempuan,30,19,72
0011,Laki,67,19,14
0012,Perempuan,35,19,99
0013,Perempuan,58,20,15
0014,Perempuan,24,20,77
0015,Laki,37,20,13
0016,Laki,22,20,79
0017,Perempuan,35,21,35
0018,Laki,20,21,66
0019,Laki,52,23,29
0020,Perempuan,35,23,98
0021,Laki,35,24,35
0022,Laki,25,24,73
0023,Perempuan,46,25,5
0024,Laki,31,25,73
0025,Perempuan,54,28,14
0026,Laki,29,28,82
0027,Perempuan,45,28,32
0028,Laki,35,28,61
0029,Perempuan,40,29,31
0030,Perempuan,23,29,87
0031,Laki,60,30,4
0032,Perempuan,21,30,73
0033,Laki,53,33,4
0034,Laki,18,33,92
0035,Perempuan,49,33,14
0036,Perempuan,21,33,81
0037,Perempuan,42,34,17
0038,Perempuan,30,34,73
0039,Perempuan,36,37,26
0040,Perempuan,20,37,75
0041,Perempuan,65,38,35
0042,Laki,24,38,92
0043,Laki,48,39,36
0044,Perempuan,31,39,61
0045,Perempuan,49,39,28
0046,Perempuan,24,39,65
0047,Perempuan,50,40,55
0048,Perempuan,27,40,47
0049,Perempuan,29,40,42
0050,Perempuan,31,40,42
0051,Perempuan,49,42,52
0052,Laki,33,42,60
0053,Perempuan,31,43,54
0054,Laki,59,43,60
0055,Perempuan,50,43,45
0056,Laki,47,43,41
0057,Perempuan,51,44,50
0058,Laki,69,44,46
0059,Perempuan,27,46,51
0060,Laki,53,46,46
0061,Laki,70,46,56
0062,Laki,19,46,55
0063,Perempuan,67,47,52
0064,Perempuan,54,47,59
0065,Laki,63,48,51
0066,Laki,18,48,59
0067,Perempuan,43,48,50
0068,Perempuan,68,48,48
0069,Laki,19,48,59
0070,Perempuan,32,48,47
0071,Laki,70,49,55
0072,Perempuan,47,49,42
0073,Perempuan,60,50,49
0074,Perempuan,60,50,56
0075,Laki,59,54,47
0076,Laki,26,54,54
0077,Perempuan,45,54,53
0078,Laki,40,54,48
0079,Perempuan,23,54,52
0080,Perempuan,49,54,42
0081,Laki,57,54,51
0082,Laki,38,54,55
0083,Laki,67,54,41
0084,Perempuan,46,54,44
0085,Perempuan,21,54,57
0086,Laki,48,54,46
0087,Perempuan,55,57,58
0088,Perempuan,22,57,55
0089,Perempuan,34,58,60
0090,Perempuan,50,58,46
0091,Perempuan,68,59,55
0092,Laki,18,59,41
0093,Laki,48,60,49
0094,Perempuan,40,60,40
0095,Perempuan,32,60,42
0096,Laki,24,60,52
0097,Perempuan,47,60,47
0098,Perempuan,27,60,50
0099,Laki,48,61,42
0100,Laki,20,61,49
0101,Perempuan,23,62,41
0102,Perempuan,49,62,48
0103,Laki,67,62,59
0104,Laki,26,62,55
0105,Laki,49,62,56
0106,Perempuan,21,62,42
0107,Perempuan,66,63,50
0108,Laki,54,63,46
0109,Laki,68,63,43
0110,Laki,66,63,48
0111,Laki,65,63,52
0112,Perempuan,19,63,54
0113,Perempuan,38,64,42
0114,Laki,19,64,46
0115,Perempuan,18,65,48
0116,Perempuan,19,65,50
0117,Perempuan,63,65,43
0118,Perempuan,49,65,59
0119,Perempuan,51,67,43
0120,Perempuan,50,67,57
0121,Laki,27,67,56
0122,Perempuan,38,67,40
0123,Perempuan,40,69,58
0124,Laki,39,69,91
0125,Perempuan,23,70,29
0126,Perempuan,31,70,77
0127,Laki,43,71,35
0128,Laki,40,71,95
0129,Laki,59,71,11
0130,Laki,38,71,75
0131,Laki,47,71,9
0132,Laki,39,71,75
0133,Perempuan,25,72,34
0134,Perempuan,31,72,71
0135,Laki,20,73,5
0136,Perempuan,29,73,88
0137,Perempuan,44,73,7
0138,Laki,32,73,73
0139,Laki,19,74,10
0140,Perempuan,35,74,72
0141,Perempuan,57,75,5
0142,Laki,32,75,93
0143,Perempuan,28,76,40
0144,Perempuan,32,76,87
0145,Laki,25,77,12
0146,Laki,28,77,97
0147,Laki,48,77,36
0148,Perempuan,32,77,74
0149,Perempuan,34,78,22
0150,Laki,34,78,90
0151,Laki,43,78,17
0152,Laki,39,78,88
0153,Perempuan,44,78,20
0154,Perempuan,38,78,76
0155,Perempuan,47,78,16
0156,Perempuan,27,78,89
0157,Laki,37,78,1
0158,Perempuan,30,78,78
0159,Laki,34,78,1
0160,Perempuan,30,78,73
0161,Perempuan,56,79,35
0162,Perempuan,29,79,83
0163,Laki,19,81,5
0164,Perempuan,31,81,93
0165,Laki,50,85,26
0166,Perempuan,36,85,75
0167,Laki,42,86,20
0168,Perempuan,33,86,95
0169,Perempuan,36,87,27
0170,Laki,32,87,63
0171,Laki,40,87,13
0172,Laki,28,87,75
0173,Laki,36,87,10
0174,Laki,36,87,92
0175,Perempuan,52,88,13
0176,Perempuan,30,88,86
0177,Laki,58,88,15
0178,Laki,27,88,69
0179,Laki,59,93,14
0180,Laki,35,93,90
0181,Perempuan,37,97,32
0182,Perempuan,32,97,86
0183,Laki,46,98,15
0184,Perempuan,29,98,88
0185,Perempuan,41,99,39
0186,Laki,30,99,97
0187,Perempuan,54,101,24
0188,Laki,28,101,68
0189,Perempuan,41,103,17
0190,Perempuan,36,103,85
0191,Perempuan,34,103,23
0192,Perempuan,32,103,69
0193,Laki,33,113,8
0194,Perempuan,38,113,91
0195,Perempuan,47,120,16
0196,Perempuan,35,120,79
0197,Perempuan,45,126,28
0198,Laki,32,126,74
0199,Laki,32,137,18
0200,Laki,30,137,83
